Agência: 1234 / Conta: 56789-0
Titular: CONEXAO DIGITAL LTDA ME
CNPJ: 45.123.456/0001-89
Período: 01/05/2025 a 30/09/2025

Data;Histórico;Documento;Valor;Saldo
15/08/2025;META ADS - FACEBOOK;DEB;-2.870,00;-247,82
17/08/2025;CIELO - VENDAS CARTÃO LOJA;CRD;5.890,00;5.642,18
19/08/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-2.800,00;2.842,18
20/08/2025;DAS SIMPLES NACIONAL;DEB;-3.294,00;-451,82
20/08/2025;PIX RECEBIDO - SHOPIFY;PIX;4.230,00;3.778,18
22/08/2025;PIX ENVIADO - MARIANA LOPES;PIX;-2.200,00;1.578,18
25/08/2025;ALUGUEL - IMOB IPANEMA;DEB;-5.200,00;-3.621,82
25/08/2025;GOOGLE ADS;DEB;-1.450,00;-5.071,82
27/08/2025;CIELO - VENDAS CARTÃO LOJA;CRD;6.120,00;1.048,18
28/08/2025;TED ENVIADA - DISTRIBUIDORA SILVA (FRETE);TED;-410,00;638,18
28/08/2025;PIX RECEBIDO - MERCADO LIVRE;PIX;4.890,00;5.528,18
30/08/2025;PIX RECEBIDO - SHOPIFY;PIX;3.120,00;8.648,18
01/09/2025;PIX ENVIADO - JULIA FERREIRA (2a PARC);PIX;-4.000,00;4.648,18
03/09/2025;CIELO - VENDAS CARTÃO LOJA;CRD;4.230,00;8.878,18
05/09/2025;REMESSA INTERNACIONAL - WISE (PACIFIC);WIRE;-22.300,00;-13.421,82
05/09/2025;PIX RECEBIDO - SHOPIFY;PIX;5.670,00;-7.751,82
07/09/2025;TARIFA CHEQUE ESPECIAL;DEB;-312,40;-8.064,22
08/09/2025;CIELO - VENDAS CARTÃO LOJA;CRD;5.560,00;-2.504,22
10/09/2025;PIX ENVIADO - BRUNO NASCIMENTO;PIX;-2.000,00;-4.504,22
12/09/2025;PIX RECEBIDO - MERCADO LIVRE;PIX;7.890,00;3.385,78
15/09/2025;META ADS - FACEBOOK;DEB;-3.120,00;265,78
15/09/2025;GOOGLE ADS;DEB;-1.890,00;-1.624,22
17/09/2025;DAS SIMPLES NACIONAL;DEB;-3.408,00;-5.032,22
17/09/2025;CIELO - VENDAS CARTÃO LOJA;CRD;5.890,00;857,78
20/09/2025;PIX RECEBIDO - SHOPIFY;PIX;4.560,00;5.417,78
22/09/2025;REMESSA INTERNACIONAL - WISE (PACIFIC);WIRE;-18.750,00;-13.332,22
25/09/2025;ALUGUEL - IMOB IPANEMA;DEB;-5.200,00;-18.532,22
25/09/2025;CIELO - VENDAS CARTÃO LOJA;CRD;6.340,00;-12.192,22
27/09/2025;PIX RECEBIDO - MERCADO LIVRE;PIX;5.120,00;-7.072,22
28/09/2025;ICMS-ST IMPORTAÇÃO;DEB;-5.230,00;-12.302,22
30/09/2025;PIX RECEBIDO - SHOPIFY;PIX;3.890,00;-8.412,22
30/09/2025;CIELO - VENDAS CARTÃO LOJA;CRD;4.120,00;-4.292,22
30/09/2025;TARIFA CHEQUE ESPECIAL;DEB;-487,20;-4.779,42
